Date,Value
189501,49.6
189601,50.1
189701,48.7
189801,59.7
189901,51.1
190001,48.5
190101,51.1
190201,50.8
190301,49.4
190401,48.4
190501,46.4
190601,53.3
190701,60.7
190801,52.2
190901,58.1
191001,50.8
191101,56.7
191201,49.1
191301,59.1
191401,52.5
191501,51.6
191601,59.4
191701,58.0
191801,44.9
191901,49.6
192001,53.0
192101,54.4
192201,52.3
192301,56.7
192401,49.3
192501,55.3
192601,50.9
192701,53.7
192801,49.5
192901,55.3
193001,52.6
193101,50.0
193201,59.3
193301,57.3
193401,54.5
193501,53.8
193601,51.9
193701,64.8
193801,52.6
193901,55.7
194001,40.2
194101,50.1
194201,48.6
194301,53.1
194401,50.0
194501,49.8
194601,54.0
194701,57.8
194801,46.4
194901,59.4
195001,63.8
195101,51.6
195201,58.1
195301,53.5
195401,53.6
195501,50.2
195601,47.8
195701,57.4
195801,45.6
195901,49.7
196001,51.1
196101,46.9
196201,49.9
196301,48.1
196401,48.4
196501,48.5
196601,47.4
196701,52.0
196801,50.1
196901,49.9
197001,45.6
197101,50.9
197201,58.0
197301,51.1
197401,65.6
197501,53.7
197601,46.4
197701,42.9
197801,44.1
197901,45.4
198001,51.7
198101,43.2
198201,49.6
198301,47.5
198401,48.1
198501,44.9
198601,48.6
198701,48.8
198801,46.2
198901,57.6
199001,55.1
199101,53.8
199201,49.8
199301,57.4
199401,48.8
199501,50.1
199601,50.0
199701,53.6
199801,54.0
199901,53.5
200001,51.7
200101,47.3
200201,53.0
200301,46.0
200401,50.4
200501,54.4
200601,56.6
200701,53.8
200801,51.0
200901,51.8
201001,46.6
201101,46.3
201201,54.3
201301,58.7
201401,47.2
201501,51.6
201601,50.6
201701,57.9
201801,48.1
201901,52.4
202001,56.9
202101,52.6
